109;arms_factory;1820.00;9.70;1832.00;2.63;0
109;arms_factory;1889.00;9.70;1771.00;3.00;0
109;arms_factory;1868.00;9.70;1796.00;2.04;0
109;arms_factory;1959.00;9.70;1797.00;5.64;0
109;arms_factory;1870.00;9.70;1831.00;1.99;0
109;arms_factory;1890.00;9.70;1779.00;5.25;0
109;industrial_complex;1878.00;9.70;1797.00;5.07;0
109;industrial_complex;1810.00;9.70;1823.00;0.94;0
109;industrial_complex;1868.00;9.70;1798.00;5.43;0
109;industrial_complex;1864.00;9.70;1812.00;3.59;0
109;industrial_complex;1852.00;9.70;1827.00;1.87;0
109;industrial_complex;1838.00;9.70;1830.00;0.78;0
109;air_base;1907.00;9.70;1790.00;0.01;0
109;supply_node;1826.00;9.70;1818.00;2.49;0
109;supply_node;1872.00;9.70;1803.00;0.89;0
109;supply_node;1939.00;9.70;1804.00;0.40;0
109;supply_node;1905.00;9.70;1821.00;4.52;0
109;supply_node;1946.00;9.70;1826.00;2.65;0
109;supply_node;1855.00;9.70;1832.00;0.63;0
109;supply_node;1877.00;9.70;1773.00;1.80;0
109;supply_node;1905.00;9.70;1783.00;6.25;0
109;bunker;1816.00;9.70;1830.00;5.82;0
109;bunker;1919.00;9.70;1821.00;5.22;0
109;bunker;1953.00;9.70;1812.00;2.56;0
109;bunker;1858.00;9.70;1831.00;4.20;0
109;bunker;1879.00;9.88;1822.00;3.60;0
109;bunker;1936.00;9.70;1836.00;1.06;0
109;bunker;1918.00;9.70;1792.00;5.72;0
109;bunker;1889.00;9.70;1778.00;0.56;0
109;coastal_bunker;1881.00;9.70;1839.00;-4.17;0
109;coastal_bunker;1964.00;9.50;1808.00;1.35;0
109;coastal_bunker;1920.00;9.50;1840.00;-3.81;0
109;coastal_bunker;1953.00;9.70;1831.00;-4.09;0
109;coastal_bunker;1864.00;9.50;1767.00;-1.49;0
109;coastal_bunker;1803.00;9.50;1812.00;-1.16;0
109;coastal_bunker;1862.00;9.50;1789.00;-0.71;0
109;coastal_bunker;1917.00;9.70;1780.00;1.57;0
109;stronghold_network;1940.00;9.70;1819.00;5.98;0
109;dockyard;1841.00;9.50;1800.00;0.34;0
109;anti_air_building;1828.00;9.70;1814.00;4.93;0
109;anti_air_building;1884.00;9.70;1826.00;0.27;0
109;anti_air_building;1932.00;9.70;1809.00;3.76;0
109;synthetic_refinery;1936.00;9.70;1822.00;5.13;0
